GEO_PICT: Pacific Island Countries and territories,TOPIC: Topic,CONDITION: Women’s condition,VIOLENCE_TYPE: Type of violence,PERPETRATOR: Perpetrator,ACTUALITY: Actuality,LIFEPER: Period of life,RESPONSE: Response,HELP_REASON: Reason for searching help,HELP_PROVIDER: Help provider,DATA_SOURCE: Data source,OBS_VALUE,OUTCOME: Outcome
CK,VAW_TOPIC_011,EVPART,PHYS,PARTNER,ALO12M,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,20.98679092382496,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,39.6,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,PHYSORSEX,PARTNER,ALO12M,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,5.7,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,PHYSORSEX,PARTNER,ALO12M,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,1.4,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,PHYSORSEX,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,21.6,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,PHYSORSEX,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,46.7,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,PHYSORSEX,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,16.1,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,SEX,PARTNER,ALO12M,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,20.98679092382496,AL1CHILDAGGR
CK,VAW_TOPIC_011,EVPART,SEX,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,0.0,AL1CHILDAGGR
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,1.1,SUICIDEATT
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,41.1,AL1CHILDAGGR
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,13.9,AL1CHILDAGGR
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,36.0,AL1CHILDQUIET
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,1.1,WORK
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,5.5,AL1CHILDQUIET
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,4.8,WORK
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,4.0,AL1CHILDQUIET
CK,VAW_TOPIC_012,EVPART,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,14.6,WORK
CK,VAW_TOPIC_013,EVPREG,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,4.7,AL1CHILDQUIET
CK,VAW_TOPIC_013,EVPREG,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,19.1,WORK
CK,VAW_TOPIC_013,EVPREG,PHYS,PARTNER,ALOLIFE,SINCE15,FIGHT,AFRKILL,FRIENDS,FHSS,4.3,AL1CHILDQUIET
